run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-15,Avery Lane Brighton,averylanebrighton.com,stijger,Pravira Elegant Shoes,pravira-elegant-shoes,https://averylanebrighton.com/products/pravira-elegant-shoes,219,245,26,10.6,1.76,2,,,,
2026-09-15,Avery Lane Brighton,averylanebrighton.com,stijger,Danyzheiah | Orthopaedic Trainers,danyzheiah-orthopaedic-sneakers,https://averylanebrighton.com/products/danyzheiah-orthopaedic-sneakers,222,238,16,6.7,1.07,2,39.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/imgi_26_a8d69d74-e66e-411c-9341-669da4fc86bc_720x-Photoroom.webp?v=1783337833
2026-09-15,Avery Lane Brighton,averylanebrighton.com,stijger,Ida | Elegant Midi Dress,ida-elegant-midi-dress,https://averylanebrighton.com/products/ida-elegant-midi-dress,268,283,15,5.3,0.92,2,39.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/19-Photoroom_730cf8da-b124-4a6b-a7b2-8daca2c1ed55.jpg?v=1783338288
2026-09-15,Avery Lane Brighton,averylanebrighton.com,stijger,Centenia | Elegant Roll Neck Jumper,centenia-elegant-turtleneck-sweater,https://averylanebrighton.com/products/centenia-elegant-turtleneck-sweater,254,266,12,4.5,0.75,1,24.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/Lenoir_Ensemble_chemise_en_corde_a_manches_courtes_et_pantalon_court_8.png?v=1783337831
2026-09-15,Avery Lane Brighton,averylanebrighton.com,stijger,Hailey | Women's Wedding Guest Elegant Wrap Maxi Dress,hailey-womens-wedding-guest-elegant-wrap-maxi-dress,https://averylanebrighton.com/products/hailey-womens-wedding-guest-elegant-wrap-maxi-dress,173,184,11,6.0,0.84,1,29.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/O1CN01idS3ae26XN2k15deW__2206619717671-0-cib.jpg?v=1783338119
2026-09-15,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Ankle Boots with Side Zipper for All-Day Comfort,womens-orthopaedic-ankle-boots-with-side-zipper-for-all-day-comfort,https://byemiliarose.com/products/womens-orthopaedic-ankle-boots-with-side-zipper-for-all-day-comfort,258,314,56,17.8,3.49,1,33.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicAnkleBootswithSideZipperforAll-DayComfort_1.png?v=1783334978
2026-09-15,By Emilia Rose,byemiliarose.com,stijger,Women's Wedge Sandals with T Strap and Cushioned Footbed,womens-wedge-sandals-with-t-strap-and-cushioned-footbed,https://byemiliarose.com/products/womens-wedge-sandals-with-t-strap-and-cushioned-footbed,251,282,31,11.0,1.96,1,55.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sWedgeSandalswithT-StrapandCushionedFootbed_2.jpg?v=1783333416
2026-09-15,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Sandals with Textured Sole for Everyday Wear,womens-orthopaedic-sandals-with-textured-sole-for-everyday-wear,https://byemiliarose.com/products/womens-orthopaedic-sandals-with-textured-sole-for-everyday-wear,260,290,30,10.3,1.86,1,77.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicSandalswithTexturedSoleforEverydayWear_1.png?v=1783334954
2026-09-15,By Emilia Rose,byemiliarose.com,stijger,Women’s Blouse with Button Closure and Short Sleeves,women-s-blouse-with-button-closure-and-short-sleeves,https://byemiliarose.com/products/women-s-blouse-with-button-closure-and-short-sleeves,246,274,28,10.2,1.79,1,70.0,Emilia Melbourne,2026-07-06,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sBlousewithButtonClosureandShortSleeves_1.png?v=1783333667
2026-09-15,By Emilia Rose,byemiliarose.com,stijger,Women’s Midi Dress with V-Neckline and Side Pockets,women-s-midi-dress-with-v-neckline-and-side-pockets-1,https://byemiliarose.com/products/women-s-midi-dress-with-v-neckline-and-side-pockets-1,242,269,27,10.0,1.74,1,73.0,Emilia Rose,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sMidiDresswithV-NecklineandSidePockets_1.png?v=1783335328
2026-09-15,By Seabourne,byseabourne.com,stijger,Beth%E2%84%A2 Colourful Floral Dress,beth%E2%84%A2-colourful-floral-dress,https://byseabourne.com/products/beth%E2%84%A2-colourful-floral-dress,188,224,36,16.1,2.63,1,,,,
2026-09-15,By Seabourne,byseabourne.com,stijger,Seraphina Womens Striped Wide Leg Pants,seraphina-womens-striped-wide-leg-pants,https://byseabourne.com/products/seraphina-womens-striped-wide-leg-pants,294,327,33,10.1,1.92,1,,,,
2026-09-15,By Seabourne,byseabourne.com,stijger,Amara%E2%84%A2 Boho Woven Wedge Sandals,amara%E2%84%A2-boho-woven-wedge-sandals,https://byseabourne.com/products/amara%E2%84%A2-boho-woven-wedge-sandals,289,319,30,9.4,1.76,1,,,,
2026-09-15,By Seabourne,byseabourne.com,stijger,Thessa Womens Striped Collared Short Sleeve Blouse,thessa-womens-striped-collared-short-sleeve-blouse,https://byseabourne.com/products/thessa-womens-striped-collared-short-sleeve-blouse,292,321,29,9.0,1.7,1,,,,
2026-09-15,By Seabourne,byseabourne.com,stijger,Giselle%E2%84%A2 Floral V Neck Dress,giselle%E2%84%A2-floral-v-neck-dress,https://byseabourne.com/products/giselle%E2%84%A2-floral-v-neck-dress,253,279,26,9.3,1.63,0,,,,
2026-09-15,Elle Charleston,elle-charleston.com,stijger,Harper | Women's Rhinestone T-Strap Flat Sandals Slip-On,harper-womens-rhinestone-t-strap-flat-sandals-slip-on,https://elle-charleston.com/products/harper-womens-rhinestone-t-strap-flat-sandals-slip-on,254,284,30,10.6,1.88,2,51.95,Jennifer & John Charleston,2026-05-08,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/womens-rhinestone-t-strap-flat-sandals-slip-on-1.jpg?v=1778151457
2026-09-15,Elle Charleston,elle-charleston.com,stijger,Evelyn | Women's Strappy Heeled Sandals Ankle Strap Block Heel,evelyn-womens-strappy-heeled-sandals-ankle-strap-block-heel,https://elle-charleston.com/products/evelyn-womens-strappy-heeled-sandals-ankle-strap-block-heel,269,296,27,9.1,1.65,2,76.95,Jennifer & John Charleston,2026-05-08,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/womens-strappy-heeled-sandals-ankle-strap-block-heel-1.jpg?v=1778151361
2026-09-15,Elle Charleston,elle-charleston.com,stijger,Penelope Womens Fall Wedding Guest Pleated Tulle Midi Dress Bustier Bodice,penelope-womens-fall-wedding-guest-pleated-tulle-midi-dress-bustier-bodice,https://elle-charleston.com/products/penelope-womens-fall-wedding-guest-pleated-tulle-midi-dress-bustier-bodice,286,312,26,8.3,1.54,1,,,,
2026-09-15,Elle Charleston,elle-charleston.com,stijger,Grace | Women's Orthopedic Block-Heel Strappy Sandals,grace-womens-orthopedic-block-heel-strappy-sandals,https://elle-charleston.com/products/grace-womens-orthopedic-block-heel-strappy-sandals,230,254,24,9.4,1.58,2,51.95,Jennifer & John Charleston,2026-05-23,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/womens-orthopedic-block-heel-strappy-sandals-1.jpg?v=1779522732
2026-09-15,Elle Charleston,elle-charleston.com,stijger,Isabella | Women's Orthopedic Wedge Sandals Cushioned Platform Slip-On,isabella-womens-orthopedic-wedge-sandals-cushioned-platform-slip-on,https://elle-charleston.com/products/isabella-womens-orthopedic-wedge-sandals-cushioned-platform-slip-on,209,219,10,4.6,0.69,2,29.95,Jennifer & John Charleston,2026-05-18,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/womens-orthopedic-wedge-sandals-cushioned-platform-slip-on-1.jpg?v=1779012309
