run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-08-23,By Emilia Rose,byemiliarose.com,stijger,Women's Leather Flat Shoes with Square Toe for Everyday Wear,womens-leather-flat-shoes-with-square-toe-for-everyday-wear,https://byemiliarose.com/products/womens-leather-flat-shoes-with-square-toe-for-everyday-wear,273,380,107,28.2,6.48,1,33.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sLeatherFlatShoeswithSquareToeforEverydayWear_1.png?v=1783335098
2026-08-23,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Ankle Boots with Side Zipper for All-Day Comfort,womens-orthopaedic-ankle-boots-with-side-zipper-for-all-day-comfort-2,https://byemiliarose.com/products/womens-orthopaedic-ankle-boots-with-side-zipper-for-all-day-comfort-2,203,273,70,25.6,4.91,1,55.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicAnkleBootswithSideZipperforAll-DayComfort_1_68bdd653-aeb3-4713-9143-eabca85802c3.png?v=1783335375
2026-08-23,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Loafers with Slip On Design for Winter,womens-orthopaedic-loafers-with-slip-on-design-for-winter,https://byemiliarose.com/products/womens-orthopaedic-loafers-with-slip-on-design-for-winter,142,201,59,29.4,4.95,1,48.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicLoaferswithSlipOnDesignforWinter_1.png?v=1783334050
2026-08-23,By Emilia Rose,byemiliarose.com,stijger,Women’s Cropped Jacket with Button Front,button-front-cropped-jacket-with-flap-pockets,https://byemiliarose.com/products/button-front-cropped-jacket-with-flap-pockets,285,333,48,14.4,2.84,1,99.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sCroppedJacketwithButtonFront.jpg?v=1783333582
2026-08-23,By Emilia Rose,byemiliarose.com,stijger,Women's Mary Jane Pumps with Block Heel for Office Wear,womens-mary-jane-pumps-with-block-heel-for-office-wear,https://byemiliarose.com/products/womens-mary-jane-pumps-with-block-heel-for-office-wear,275,316,41,13.0,2.47,1,70.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sMaryJanePumpswithBlockHeelforOfficeWear_1.png?v=1783334088
2026-08-23,The Hills Nashville,thehillsnashville.com,stijger,Amber | Orthopedic Sandals,amber,https://thehillsnashville.com/products/amber,68,79,11,13.9,1.33,1,24.95,The Hills Nashville,2026-07-06,https://cdn.shopify.com/s/files/1/1017/6325/2566/files/021c4b50bd5c4e17bd453f1595bac6f8.jpg?v=1783338696
