run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-13,Avery Lane Brighton,averylanebrighton.com,stijger,Yan Elegant Midi Dress,yan-elegant-midi-dress,https://averylanebrighton.com/products/yan-elegant-midi-dress,219,237,18,7.6,1.22,2,,,,
2026-09-13,Avery Lane Brighton,averylanebrighton.com,stijger,Cell | Elegant Formal Slip Maxi Dress With Open Back,cell-elegant-formal-slip-maxi-dress-with-open-back,https://averylanebrighton.com/products/cell-elegant-formal-slip-maxi-dress-with-open-back,195,205,10,4.9,0.72,2,29.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/15_ae948182-ef4d-4375-af1a-25b3d87f3047.png?v=1783338314
2026-09-13,By Emilia Rose,byemiliarose.com,stijger,Women's Button-Front Cardigan with Ribbed Trim,womens-button-front-cardigan-with-ribbed-trim,https://byemiliarose.com/products/womens-button-front-cardigan-with-ribbed-trim,208,854,646,75.6,44.79,0,99.0,Emilia,2026-09-09,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/ChatGPT_Image_Jul_25_2025_07_07_04_PM.png?v=1788933576
2026-09-13,By Emilia Rose,byemiliarose.com,stijger,Women's Belted Ribbed Midi Dress with Collar and V-Neck,womens-belted-ribbed-midi-dress-with-collar-and-v-neck,https://byemiliarose.com/products/womens-belted-ribbed-midi-dress-with-collar-and-v-neck,295,850,555,65.3,32.31,2,81.0,Emilia,2026-09-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Generated_Image_August_02_2026_-_11_59PM.png?v=1789020603
2026-09-13,By Emilia Rose,byemiliarose.com,stijger,Women's Oversized Open-Front Cardigan with Balloon Sleeves,womens-oversized-open-front-cardigan-with-balloon-sleeves,https://byemiliarose.com/products/womens-oversized-open-front-cardigan-with-balloon-sleeves,253,486,233,47.9,14.65,1,15.0,Emilia,2026-09-05,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/soft-knit-oversized-womens-cardigan-sienna-khaki-xs-nora_luxe.jpg?v=1788443213
2026-09-13,By Emilia Rose,byemiliarose.com,stijger,Women's Textured Cardigan Jacket with Button Closure,womens-textured-cardigan-jacket-with-button-closure,https://byemiliarose.com/products/womens-textured-cardigan-jacket-with-button-closure,296,343,47,13.7,2.73,1,19.0,Emilia,2026-09-05,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/S072c7b48aeb247cf813346f9ce0ce8daQ_8a046d98-1e97-4043-b4ba-d43e301bb2ca.jpg?v=1788589930
2026-09-13,By Emilia Rose,byemiliarose.com,stijger,Women’s Blazer Dress with Notched Collar and Straight Hem,womens-blazer-dress-with-notched-collar-and-straight-hem,https://byemiliarose.com/products/womens-blazer-dress-with-notched-collar-and-straight-hem,140,172,32,18.6,2.7,0,77.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sBlazerDresswithNotchedCollarandStraightHem_9_1bf7b307-ad79-4118-9272-820198961801.png?v=1783333953
2026-09-13,By Seabourne,byseabourne.com,stijger,Giselle%E2%84%A2 Floral V Neck Dress,giselle%E2%84%A2-floral-v-neck-dress,https://byseabourne.com/products/giselle%E2%84%A2-floral-v-neck-dress,251,302,51,16.9,3.22,1,,,,
2026-09-13,By Seabourne,byseabourne.com,stijger,Koda | Women's Mesh Chunky Sole Lace-Up Trainers Colour Block,koda-womens-mesh-chunky-sole-lace-up-trainers-colour-block,https://byseabourne.com/products/koda-womens-mesh-chunky-sole-lace-up-trainers-colour-block,294,326,32,9.8,1.87,0,74.95,SEABOURNE,2026-03-27,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/02a6cf04-73cc-4994-a7f9-82a90660097b_540x-Photoroom.jpg?v=1774529458
2026-09-13,By Seabourne,byseabourne.com,stijger,Celeste | Women's Floral Wrap Midi Dress V-Neck Short Sleeve,celeste-womens-floral-wrap-midi-dress-v-neck-short-sleeve,https://byseabourne.com/products/celeste-womens-floral-wrap-midi-dress-v-neck-short-sleeve,295,327,32,9.8,1.86,0,99.95,SEABOURNE,2026-03-27,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/1769c2257bcc0ab702fff29dbeefb624_720x-Photoroom.jpg?v=1774500227
