run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-08-25,Avery Lane Brighton,averylanebrighton.com,stijger,Rinley Orthopaedic Boots,rinley-orthopaedic-boots,https://averylanebrighton.com/products/rinley-orthopaedic-boots,264,316,52,16.5,3.2,1,,,,
2026-08-25,Avery Lane Brighton,averylanebrighton.com,stijger,Alana | Elegant Dress,alana-elegant-dress,https://averylanebrighton.com/products/alana-elegant-dress,255,304,49,16.1,3.07,1,29.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/44_7e680f58-2de0-4a9b-bcc3-495ef8f7cf08_720x-Photoroom.jpg?v=1783338195
2026-08-25,Avery Lane Brighton,averylanebrighton.com,stijger,Andra | Orthopaedic Boots,andra-orthopaedic-boots,https://averylanebrighton.com/products/andra-orthopaedic-boots,219,262,43,16.4,2.91,1,29.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/S50d8b0e51f5a4e5c98efdf364f65b8bb0_720x-Photoroom.jpg?v=1783337488
2026-08-25,Avery Lane Brighton,averylanebrighton.com,stijger,Rael Orthopaedic Mary Jane Shoes,rael-orthopaedic-mary-jane-shoes,https://averylanebrighton.com/products/rael-orthopaedic-mary-jane-shoes,198,239,41,17.2,2.91,1,,,,
2026-08-25,Avery Lane Brighton,averylanebrighton.com,stijger,Laura Comfortable Orthopaedic Sandal,laura-comfortable-orthopaedic-sandal,https://averylanebrighton.com/products/laura-comfortable-orthopaedic-sandal,125,163,38,23.3,3.4,1,,,,
2026-08-25,By Emilia Rose,byemiliarose.com,stijger,Women's Orthopaedic Wedge Slide Sandals with Wedge Platform for Summer,womens-orthopaedic-wedge-slide-sandals-with-wedge-platform-for-summer,https://byemiliarose.com/products/womens-orthopaedic-wedge-slide-sandals-with-wedge-platform-for-summer,247,387,140,36.2,8.91,2,41.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sOrthopaedicWedgeSlideSandalswithWedgePlatformforSummer_1.png?v=1783333893
2026-08-25,By Emilia Rose,byemiliarose.com,stijger,Women S Knee Length Dress With V Neckline And Pleated Skirt,women-s-knee-length-dress-with-v-neckline-and-pleated-skirt,https://byemiliarose.com/products/women-s-knee-length-dress-with-v-neckline-and-pleated-skirt,113,251,138,55.0,12.98,1,,,,
2026-08-25,By Emilia Rose,byemiliarose.com,stijger,Women's Sandals with Ankle Strap and Block Heel Sole,womens-sandals-with-ankle-strap-and-block-heel-sole,https://byemiliarose.com/products/womens-sandals-with-ankle-strap-and-block-heel-sole,277,373,96,25.7,5.77,1,33.0,Emilia Rose,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sSandalswithAnkleStrapandBlockHeel_1_1a65e653-0ba1-4f12-91d4-eac46ab0ed44.jpg?v=1783333529
2026-08-25,By Emilia Rose,byemiliarose.com,stijger,Women’s Loungewear Set with Elastic Waistband and Short Sleeves,women-s-loungewear-set-with-elastic-waistband-and-short-sleeves,https://byemiliarose.com/products/women-s-loungewear-set-with-elastic-waistband-and-short-sleeves,207,298,91,30.5,6.32,1,37.0,Emilia Melbourne,2026-07-06,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sLoungewearSetwithElasticWaistbandandShortSleeves_1.png?v=1783335374
2026-08-25,By Emilia Rose,byemiliarose.com,stijger,Women’s Jumpsuit with Sequin Surface and Straight Legs,womens-jumpsuit-with-sequin-surface-and-straight-legs,https://byemiliarose.com/products/womens-jumpsuit-with-sequin-surface-and-straight-legs,228,286,58,20.3,3.84,2,92.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sJumpsuitwithSequinSurfaceandStraightLegs_5.png?v=1783334337
