run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-18,Avery Lane Brighton,averylanebrighton.com,stijger,Krystina | Elegant Midi Dress,krystina-elegant-midi-dress,https://averylanebrighton.com/products/krystina-elegant-midi-dress,219,232,13,5.6,0.88,0,39.95,Avery Lane Brighton,2026-07-07,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/as_10_720x-Photoroom.jpg?v=1783338050
2026-09-18,Avery Lane Brighton,averylanebrighton.com,stijger,Ame | Elegant Trousers,ame-elegant-trousers,https://averylanebrighton.com/products/ame-elegant-trousers,181,193,12,6.2,0.89,3,29.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/3_720x_0a112c25-69fc-4dc0-ba0b-84c1f6dd2e6c.webp?v=1783337414
2026-09-18,Avery Lane Brighton,averylanebrighton.com,stijger,Kalyndrae | Comfortable Jumper,kalyndrae-comfortable-sweater,https://averylanebrighton.com/products/kalyndrae-comfortable-sweater,274,286,12,4.2,0.72,1,29.95,Avery Lane Brighton,2026-07-06,https://cdn.shopify.com/s/files/1/0739/9948/2949/files/trui-zomerbries-elegantique_nl-8_720x-Photoroom.jpg?v=1783338184
2026-09-18,By Emilia Rose,byemiliarose.com,stijger,Women’s Bikini Set with Textured Top and High Waist,women-s-bikini-set-with-textured-top-and-high-waist,https://byemiliarose.com/products/women-s-bikini-set-with-textured-top-and-high-waist,199,220,21,9.5,1.49,1,51.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sBikiniSetwithTexturedTopandHighWaist_1.png?v=1771497896
2026-09-18,By Emilia Rose,byemiliarose.com,stijger,Women’s Blazer and Trousers Set with Notched Lapel and Straight Legs,womens-blazer-and-trousers-set-with-notched-lapel-and-straight-legs,https://byemiliarose.com/products/womens-blazer-and-trousers-set-with-notched-lapel-and-straight-legs,127,139,12,8.6,1.06,1,99.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sBlazerandTrousersSetwithNotchedLapelandStraightLegs_9.png?v=1783335237
2026-09-18,By Emilia Rose,byemiliarose.com,stijger,Women S T Shirt With Round Neck And Textured Surface,women-s-t-shirt-with-round-neck-and-textured-surface,https://byemiliarose.com/products/women-s-t-shirt-with-round-neck-and-textured-surface,147,157,10,6.4,0.82,0,,,,
2026-09-18,By Emilia Rose,byemiliarose.com,nieuw,Women's Mary Jane Flats with Woven Crochet Floral Upper,womens-mary-jane-flats-with-woven-crochet-floral-upper,https://byemiliarose.com/products/womens-mary-jane-flats-with-woven-crochet-floral-upper,36,,,,,,77.0,,2026-07-08,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sMaryJaneFlatswithWovenCrochetFloralUpper_1.png?v=1789707568
2026-09-18,By Seabourne,byseabourne.com,stijger,Josephine | Chic V-Neck Boho Dress with Flattering Waist Tie,josephine-chic-v-neck-boho-dress-with-flattering-waist-tie,https://byseabourne.com/products/josephine-chic-v-neck-boho-dress-with-flattering-waist-tie,280,317,37,11.7,2.21,1,84.95,SEABOURNE,2025-10-16,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/S96d69cb7662a49ce81c17146a3a57940H_d522504a-35df-4112-8bab-3f4b87b797c7.webp?v=1760564385
2026-09-18,By Seabourne,byseabourne.com,stijger,Angelica | Cozy Shift Dress,angelicacozydress-1,https://byseabourne.com/products/angelicacozydress-1,230,250,20,8.0,1.32,1,79.95,SEABOURNE,2025-10-16,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/ENID_2_336a2a23-9a08-4216-9cb3-610fc8cdb4d8.webp?v=1760564395
2026-09-18,By Seabourne,byseabourne.com,stijger,Chrissy%E2%84%A2 Boho Beach Cover Up,chrissy%E2%84%A2-boho-beach-cover-up,https://byseabourne.com/products/chrissy%E2%84%A2-boho-beach-cover-up,102,119,17,14.3,1.68,1,,,,
2026-09-18,By Seabourne,byseabourne.com,stijger,Antique Blue Lotus Silver Earrings,antique-blue-lotus-silver-earrings,https://byseabourne.com/products/antique-blue-lotus-silver-earrings,192,208,16,7.7,1.15,0,59.95,SEABOURNE,2025-10-16,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/ChatGPTImageAug27_2026_12_14_29PM.png?v=1787804084
2026-09-18,By Seabourne,byseabourne.com,stijger,Julia%E2%84%A2 With Embroidered Solid Stand Up Collar,julia%E2%84%A2-with-embroidered-solid-stand-up-collar,https://byseabourne.com/products/julia%E2%84%A2-with-embroidered-solid-stand-up-collar,172,185,13,7.0,0.99,0,,,,
2026-09-18,Elle Charleston,elle-charleston.com,stijger,Elijah | Men's Slip-On Mules Open Heel Stitched Detail Casual,elijah-mens-slip-on-mules-open-heel-stitched-detail-casual,https://elle-charleston.com/products/elijah-mens-slip-on-mules-open-heel-stitched-detail-casual,171,185,14,7.6,1.07,1,58.95,Jennifer & John Charleston,2026-05-18,https://cdn.shopify.com/s/files/1/0959/2776/3327/files/mens-slip-on-mules-open-heel-stitched-detail-casual-1.jpg?v=1779014048
