run_date,store,domain,type,title,handle,url,rank_now,rank_before,delta,pct_gain,weighted_score,climb_streak_days,price,vendor,product_created,image
2026-09-19,Avery Lane Brighton,averylanebrighton.com,stijger,Melvaya Elegant Top,melvaya-elegant-top,https://averylanebrighton.com/products/melvaya-elegant-top,300,317,17,5.4,0.98,2,,,,
2026-09-19,Avery Lane Brighton,averylanebrighton.com,stijger,Rhezalynn Elegant Cardigan,rhezalynn-elegant-cardigan,https://averylanebrighton.com/products/rhezalynn-elegant-cardigan,295,309,14,4.5,0.82,1,,,,
2026-09-19,Avery Lane Brighton,averylanebrighton.com,stijger,Margaritte Stylish Midi Dress,margaritte-stylish-midi-dress,https://averylanebrighton.com/products/margaritte-stylish-midi-dress,250,262,12,4.6,0.76,1,,,,
2026-09-19,Avery Lane Brighton,averylanebrighton.com,stijger,Sofriena Orthopaedic Sneakers,sofriena-orthopaedic-sneakers,https://averylanebrighton.com/products/sofriena-orthopaedic-sneakers,210,221,11,5.0,0.76,2,,,,
2026-09-19,By Emilia Rose,byemiliarose.com,stijger,Women's Quilted Puffer Jacket with Faux Fur Collar,womens-quilted-puffer-jacket-with-faux-fur-collar,https://byemiliarose.com/products/womens-quilted-puffer-jacket-with-faux-fur-collar,157,516,359,69.6,28.65,5,15.0,Emilia,2026-09-13,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/2_476e55bc-7b32-4a0e-a982-4f352400f21b.png?v=1789342998
2026-09-19,By Emilia Rose,byemiliarose.com,stijger,Women's Longline Button-Front Teddy Jacket with Pockets,womens-longline-button-front-teddy-jacket-with-pockets,https://byemiliarose.com/products/womens-longline-button-front-teddy-jacket-with-pockets,115,361,246,68.1,22.94,4,15.0,Emilia,2026-09-12,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/long-teddy-vest-with-pockets-ella-light-blue-s-nora_luxe.jpg?v=1789256698
2026-09-19,By Emilia Rose,byemiliarose.com,stijger,Women’s Halter Top with Round Neck and Sleeveless Design,women-s-halter-top-with-round-neck-and-sleeveless-design,https://byemiliarose.com/products/women-s-halter-top-with-round-neck-and-sleeveless-design,189,225,36,16.0,2.62,1,48.0,Emilia Melbourne,2026-07-06,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sHalterTopwithRoundNeckandSleevelessDesign_1.png?v=1775736548
2026-09-19,By Emilia Rose,byemiliarose.com,stijger,Women S Tulle Dress With Sweetheart Neck,women-s-tulle-dress-with-sweetheart-neck,https://byemiliarose.com/products/women-s-tulle-dress-with-sweetheart-neck,250,281,31,11.0,1.96,1,,,,
2026-09-19,By Emilia Rose,byemiliarose.com,stijger,Women’s Maxi Dress with Tie Neck and Slit,maxi-dress-with-plunging-neckline,https://byemiliarose.com/products/maxi-dress-with-plunging-neckline,136,158,22,13.9,1.89,1,66.0,Emilia Melbourne,2026-07-10,https://cdn.shopify.com/s/files/1/0898/4746/4277/files/Women_sMaxiDresswithTieNeckandSlit.png?v=1783334669
2026-09-19,By Seabourne,byseabourne.com,stijger,Romy | Slip Sandals,romy-slip-sandals,https://byseabourne.com/products/romy-slip-sandals,177,194,17,8.8,1.28,1,69.95,SEABOURNE,2025-10-14,https://cdn.shopify.com/s/files/1/0952/6175/3687/files/Photoroom_20250828_111112.jpg?v=1760373512
